location,activity_type,cost,date,duration_hours
Eldoret,Hiking,1643.16,5/3/2022,21
Nairobi,Wildlife Viewing,4049.95,3/25/2022,21
Eldoret,Hiking,4751.72,5/19/2022,19
Kisumu,Cultural Tour,4236.49,4/21/2022,6
Mombasa,Safari,4712.73,6/4/2022,8
Nakuru,Beach,95.57,12/1/2022,22
Mombasa,Safari,1527.54,5/16/2022,10
Mombasa,Wildlife Viewing,4264.99,1/17/2022,14
Nairobi,Hiking,1253.21,6/9/2022,12
Nairobi,Hiking,1765.7,11/7/2022,17
Nakuru,Safari,3082.08,8/8/2022,6
Nairobi,Safari,3322.87,10/10/2022,8
Mombasa,Wildlife Viewing,2053.42,2/19/2022,24
Kisumu,Hiking,990.96,12/28/2022,8
Kisumu,Cultural Tour,630.1,4/24/2022,10
Mombasa,Safari,4826.62,6/14/2022,12
Mombasa,Cultural Tour,4454.3,3/20/2022,4
Mombasa,Wildlife Viewing,2960.99,4/12/2022,20
Nairobi,Cultural Tour,1458.63,2/14/2022,10
Kisumu,Hiking,1962.36,7/12/2022,2
Eldoret,Safari,2605.11,6/8/2022,19
Mombasa,Cultural Tour,3115.87,11/15/2022,9
Kisumu,Cultural Tour,4023.32,11/5/2022,23
Eldoret,Hiking,499.28,2/16/2022,15
Nakuru,Safari,449.36,5/20/2022,16
Eldoret,Wildlife Viewing,4433.92,4/22/2022,18
Eldoret,Beach,4817.74,8/6/2022,6
Nakuru,Wildlife Viewing,1885.59,4/21/2022,14
Mombasa,Beach,3513.4,10/9/2022,15
Mombasa,Safari,1551.82,5/2/2022,9
Eldoret,Cultural Tour,2894.65,3/10/2022,7
Mombasa,Wildlife Viewing,2603.31,7/23/2022,4
Kisumu,Beach,4209.5,3/8/2022,1
Nakuru,Beach,3258.04,1/30/2022,21
Mombasa,Wildlife Viewing,665.93,3/23/2022,11
Eldoret,Cultural Tour,2292.41,3/30/2022,11
Nakuru,Hiking,2383.41,3/1/2022,5
Mombasa,Wildlife Viewing,598.38,6/1/2022,21
Eldoret,Wildlife Viewing,1534.62,4/9/2022,2
Mombasa,Hiking,4413.59,8/15/2022,12
Nairobi,Cultural Tour,265.32,9/26/2022,3
Nairobi,Beach,4011.45,8/25/2022,21
Kisumu,Cultural Tour,4473.35,10/13/2022,15
Eldoret,Wildlife Viewing,2264.7,4/4/2022,10
Nakuru,Hiking,974.57,10/28/2022,22
Nakuru,Wildlife Viewing,2320.86,2/2/2022,13
Eldoret,Cultural Tour,4292.19,8/12/2022,5
Eldoret,Hiking,303.74,11/28/2022,19
Kisumu,Hiking,659.8,11/16/2022,1
Eldoret,Wildlife Viewing,4295.69,2/6/2022,11
Kisumu,Cultural Tour,872.99,1/11/2022,4
Nairobi,Beach,4512.8,7/11/2022,20
Nairobi,Safari,4924.93,10/31/2022,23
Mombasa,Hiking,2406.99,2/15/2022,20
Nakuru,Safari,2576.82,3/24/2022,2
Nairobi,Hiking,3828.29,12/15/2022,20
Eldoret,Beach,2707.11,11/10/2022,3
Kisumu,Beach,1372.06,4/28/2022,22
Nairobi,Safari,1771.29,8/31/2022,13
Nairobi,Beach,937.96,10/16/2022,5
Nakuru,Safari,2320.94,1/6/2022,18
Nakuru,Beach,1284.86,12/29/2022,1
Eldoret,Safari,1536.17,3/5/2022,6
Nakuru,Beach,4340.23,10/20/2022,22
Kisumu,Safari,1483.18,12/15/2022,4
Mombasa,Beach,4608.35,8/24/2022,1
Kisumu,Hiking,4641.67,7/18/2022,10
Kisumu,Safari,1586.94,8/11/2022,23
Kisumu,Wildlife Viewing,3057.94,3/19/2022,16
Kisumu,Safari,2673.22,9/14/2022,10
Nairobi,Safari,2632.72,11/1/2022,23
Kisumu,Beach,3010.41,11/8/2022,24
Nairobi,Beach,2431.78,4/19/2022,23
Eldoret,Beach,1458.92,9/2/2022,20
Eldoret,Hiking,1443.26,1/13/2022,9
Nakuru,Safari,3655.33,12/7/2022,1
Mombasa,Safari,3533.13,10/13/2022,12
Nairobi,Beach,3607.37,9/30/2022,23
Mombasa,Beach,3720.0,3/22/2022,16
Mombasa,Beach,2868.32,10/4/2022,3
Kisumu,Wildlife Viewing,3255.3,8/4/2022,5
Mombasa,Safari,4157.22,7/24/2022,16
Eldoret,Beach,503.64,9/9/2022,16
Nakuru,Wildlife Viewing,3631.94,5/6/2022,1
Eldoret,Beach,4431.51,11/3/2022,10
Nakuru,Beach,312.03,11/2/2022,17
Nairobi,Cultural Tour,1846.44,1/3/2022,2
Nakuru,Beach,498.3,7/20/2022,1
Eldoret,Safari,4318.22,6/1/2022,16
Mombasa,Wildlife Viewing,4335.79,9/2/2022,23
Nakuru,Wildlife Viewing,615.24,6/28/2022,5
Nakuru,Hiking,2162.12,7/21/2022,14
Nakuru,Wildlife Viewing,2370.61,11/22/2022,4
Eldoret,Safari,1233.17,10/11/2022,9
Nairobi,Safari,1668.3,5/7/2022,15
Nakuru,Beach,1304.4,3/26/2022,21
Mombasa,Wildlife Viewing,1579.56,4/20/2022,17
Eldoret,Wildlife Viewing,2721.47,2/3/2022,4
Eldoret,Cultural Tour,3998.91,11/22/2022,6
Mombasa,Hiking,3546.63,6/16/2022,16
Kisumu,Wildlife Viewing,2831.83,10/17/2022,4
Eldoret,Hiking,3657.61,8/15/2022,8
Kisumu,Hiking,1267.04,7/12/2022,21
Nakuru,Safari,2356.16,4/8/2022,16
Mombasa,Cultural Tour,4811.87,10/2/2022,8
Nairobi,Beach,2089.08,9/28/2022,2
Nairobi,Cultural Tour,2151.46,6/29/2022,14
Nakuru,Safari,1866.33,11/9/2022,7
Mombasa,Beach,974.49,3/11/2022,3
Nairobi,Wildlife Viewing,3665.89,5/17/2022,6
Nakuru,Wildlife Viewing,1140.12,4/25/2022,1
Nakuru,Hiking,3379.79,3/8/2022,20
Eldoret,Safari,3501.34,12/6/2022,10
Nairobi,Beach,2556.52,1/14/2022,22
Kisumu,Safari,2685.34,4/7/2022,11
Mombasa,Beach,2706.16,10/3/2022,10
Nairobi,Wildlife Viewing,484.71,4/7/2022,6
Nakuru,Safari,2973.55,4/29/2022,21
Nakuru,Hiking,2089.01,8/12/2022,6
Mombasa,Safari,161.88,7/23/2022,20
Kisumu,Hiking,4977.67,8/27/2022,20
Mombasa,Cultural Tour,4650.76,7/15/2022,3
Nairobi,Hiking,1411.65,9/6/2022,19
Nairobi,Hiking,2530.22,11/12/2022,3
Kisumu,Wildlife Viewing,889.39,11/12/2022,18
Nairobi,Cultural Tour,2822.31,7/11/2022,8
Nakuru,Beach,3207.67,12/26/2022,21
Nakuru,Hiking,1806.94,3/11/2022,15
Kisumu,Hiking,4131.45,9/25/2022,22
Kisumu,Cultural Tour,486.24,11/28/2022,11
Mombasa,Safari,299.46,7/11/2022,20
Nakuru,Cultural Tour,99.92,10/27/2022,3
Kisumu,Hiking,1199.78,4/13/2022,5
Nairobi,Safari,3142.61,1/29/2022,20
Nairobi,Beach,1659.57,8/11/2022,13
Mombasa,Safari,1717.58,11/22/2022,24
Eldoret,Cultural Tour,4159.92,1/9/2022,12
Eldoret,Safari,616.0,11/25/2022,18
Nakuru,Safari,4666.32,10/11/2022,7
Eldoret,Cultural Tour,611.16,12/12/2022,23
Eldoret,Safari,1917.86,7/6/2022,3
Mombasa,Wildlife Viewing,3306.67,12/30/2022,12
Kisumu,Cultural Tour,4591.98,3/8/2022,20
Nairobi,Hiking,3487.9,6/7/2022,1
Eldoret,Beach,1732.17,3/19/2022,18
Mombasa,Beach,4884.3,8/1/2022,23
Eldoret,Beach,2425.28,9/3/2022,20
Nairobi,Cultural Tour,1218.58,11/27/2022,9
Nakuru,Hiking,2513.09,4/6/2022,15
Nairobi,Wildlife Viewing,1448.16,1/17/2022,12
Kisumu,Beach,290.1,11/18/2022,1
Kisumu,Wildlife Viewing,1095.88,2/23/2022,8
Nakuru,Hiking,772.82,2/19/2022,6
Kisumu,Cultural Tour,267.48,3/28/2022,20
Mombasa,Beach,2762.53,10/13/2022,10
Nakuru,Hiking,3542.58,8/22/2022,12
Nairobi,Cultural Tour,4022.42,3/23/2022,23
Mombasa,Hiking,3432.3,8/14/2022,11
Eldoret,Beach,1441.32,7/9/2022,11
Kisumu,Cultural Tour,2090.02,7/9/2022,1
Eldoret,Wildlife Viewing,3400.86,9/20/2022,11
Kisumu,Cultural Tour,4949.29,5/19/2022,5
Nakuru,Wildlife Viewing,2559.62,6/28/2022,2
Eldoret,Beach,2838.9,3/23/2022,13
Mombasa,Safari,1239.7,2/1/2022,11
Eldoret,Hiking,1223.96,3/2/2022,10
Mombasa,Hiking,3332.8,8/8/2022,2
Kisumu,Safari,1325.91,4/3/2022,11
Mombasa,Wildlife Viewing,1268.53,11/6/2022,22
Nairobi,Cultural Tour,2889.35,9/18/2022,11
Eldoret,Safari,3549.21,11/22/2022,20
Kisumu,Beach,2094.21,12/17/2022,16
Eldoret,Hiking,2385.71,1/11/2022,9
Nairobi,Beach,1684.27,7/7/2022,21
Eldoret,Hiking,2855.89,6/8/2022,6
Nakuru,Cultural Tour,448.27,4/15/2022,1
Nakuru,Hiking,2806.08,1/20/2022,18
Nairobi,Wildlife Viewing,2999.93,1/3/2022,8
Nairobi,Beach,2417.48,6/8/2022,5
Mombasa,Beach,483.56,2/7/2022,24
Eldoret,Beach,4434.78,11/27/2022,7
Kisumu,Cultural Tour,1416.89,7/20/2022,15
Nakuru,Safari,956.65,1/21/2022,19
Eldoret,Wildlife Viewing,1986.52,5/14/2022,7
Nakuru,Hiking,1092.19,10/14/2022,9
Mombasa,Beach,1679.56,10/12/2022,22
Eldoret,Wildlife Viewing,4841.91,12/10/2022,18
Nakuru,Hiking,910.23,2/14/2022,13
Nakuru,Safari,713.39,12/16/2022,2
Eldoret,Beach,1265.12,9/22/2022,24
Nairobi,Safari,3181.68,6/9/2022,8
Nairobi,Beach,1879.51,5/1/2022,18
Mombasa,Hiking,4767.59,6/13/2022,19
Mombasa,Beach,3956.6,3/6/2022,1
Nairobi,Hiking,2486.55,1/4/2022,14
Eldoret,Safari,3841.07,1/19/2022,5
Nairobi,Cultural Tour,1482.21,6/16/2022,4
Nairobi,Cultural Tour,3212.43,7/15/2022,24
Nakuru,Wildlife Viewing,390.53,3/23/2022,21
Mombasa,Wildlife Viewing,2309.1,12/3/2022,8
Mombasa,Wildlife Viewing,1296.55,8/25/2022,16
Nakuru,Hiking,2633.4,11/26/2022,24
Nairobi,Safari,4501.97,2/8/2022,19
Nakuru,Wildlife Viewing,4924.22,10/29/2022,16
Nakuru,Hiking,1873.08,4/24/2022,24
Nairobi,Safari,839.03,9/14/2022,20
Nairobi,Beach,296.3,5/8/2022,9
Eldoret,Wildlife Viewing,2158.79,7/29/2022,5
Eldoret,Cultural Tour,299.4,5/27/2022,8
Kisumu,Wildlife Viewing,3385.23,1/4/2022,7
Nakuru,Hiking,4637.69,2/5/2022,5
Mombasa,Cultural Tour,4718.52,8/3/2022,13
Kisumu,Hiking,4559.87,10/25/2022,18
Nairobi,Wildlife Viewing,1066.59,3/6/2022,12
Nakuru,Wildlife Viewing,2956.42,7/13/2022,4
Kisumu,Hiking,4737.95,9/16/2022,19
Nakuru,Cultural Tour,2982.99,3/4/2022,3
Mombasa,Hiking,4871.06,10/24/2022,20
Kisumu,Cultural Tour,2414.47,2/24/2022,24
Eldoret,Wildlife Viewing,1092.14,2/6/2022,10
Mombasa,Hiking,4444.65,2/7/2022,4
Kisumu,Hiking,1141.16,5/1/2022,5
Nairobi,Beach,4309.54,3/1/2022,7
Nakuru,Beach,1717.14,4/29/2022,7
Eldoret,Wildlife Viewing,131.95,10/31/2022,6
Eldoret,Hiking,4633.59,6/13/2022,23
Nakuru,Wildlife Viewing,1452.86,5/18/2022,19
Eldoret,Safari,3918.29,11/10/2022,14
Eldoret,Safari,2467.35,5/6/2022,23
Mombasa,Wildlife Viewing,4606.16,6/10/2022,9
Mombasa,Safari,3871.6,10/12/2022,7
Kisumu,Beach,164.56,5/14/2022,22
Eldoret,Cultural Tour,1373.01,9/14/2022,1
Eldoret,Cultural Tour,4084.73,6/11/2022,6
Nakuru,Beach,1621.83,6/9/2022,4
Nairobi,Beach,1745.08,4/30/2022,8
Kisumu,Beach,2969.32,10/3/2022,6
Kisumu,Safari,1517.16,11/15/2022,7
Eldoret,Cultural Tour,4770.88,6/4/2022,12
Nairobi,Beach,3737.79,3/12/2022,10
Mombasa,Cultural Tour,749.56,10/17/2022,9
Eldoret,Safari,1813.3,12/11/2022,3
Nairobi,Hiking,2392.41,3/31/2022,11
Nakuru,Safari,2917.27,7/9/2022,21
Kisumu,Beach,1827.44,7/8/2022,4
Mombasa,Cultural Tour,4983.24,5/3/2022,11
Eldoret,Hiking,2438.71,11/7/2022,13
Nakuru,Beach,1857.06,1/12/2022,5
Eldoret,Beach,3695.78,2/4/2022,3
Eldoret,Cultural Tour,1169.86,10/12/2022,10
Nakuru,Wildlife Viewing,2837.41,2/23/2022,6
Nakuru,Wildlife Viewing,2417.39,8/2/2022,12
Nairobi,Beach,1201.67,6/3/2022,7
Nakuru,Cultural Tour,1714.22,6/11/2022,23
Kisumu,Safari,4927.3,1/27/2022,13
Kisumu,Cultural Tour,3272.27,8/18/2022,2
Nakuru,Wildlife Viewing,4076.19,12/22/2022,11
Mombasa,Hiking,1114.84,7/8/2022,10
Eldoret,Beach,3167.89,12/19/2022,22
Nairobi,Cultural Tour,1415.84,7/28/2022,20
Nairobi,Cultural Tour,3653.4,10/20/2022,12
Kisumu,Cultural Tour,4644.53,9/17/2022,19
Kisumu,Hiking,3626.4,11/10/2022,13
Eldoret,Hiking,305.27,8/7/2022,20
Nakuru,Hiking,2726.06,3/26/2022,10
Kisumu,Beach,766.26,8/28/2022,5
Eldoret,Hiking,272.42,5/2/2022,2
Nakuru,Hiking,2070.97,11/4/2022,11
Nairobi,Wildlife Viewing,2466.78,7/19/2022,13
Kisumu,Wildlife Viewing,4092.5,10/27/2022,13
Mombasa,Beach,4102.5,1/26/2022,20
Mombasa,Cultural Tour,2182.48,4/2/2022,18
Eldoret,Hiking,3352.21,3/24/2022,3
Mombasa,Hiking,487.52,4/30/2022,10
Kisumu,Hiking,2293.34,10/8/2022,12
Mombasa,Cultural Tour,447.34,1/12/2022,24
Kisumu,Cultural Tour,3270.25,4/9/2022,20
Eldoret,Wildlife Viewing,2503.15,11/26/2022,17
Eldoret,Safari,2459.71,7/12/2022,2
Nairobi,Hiking,1130.86,6/15/2022,12
Nakuru,Hiking,2204.59,10/17/2022,8
Nairobi,Wildlife Viewing,1146.08,7/14/2022,9
Nairobi,Beach,2159.12,8/3/2022,11
Kisumu,Hiking,4628.69,3/10/2022,24
Nairobi,Cultural Tour,940.6,9/17/2022,4
Nairobi,Beach,873.35,3/4/2022,8
Eldoret,Cultural Tour,2188.2,7/6/2022,17
Kisumu,Wildlife Viewing,4551.13,4/19/2022,20
Nakuru,Wildlife Viewing,2861.82,2/2/2022,17
Eldoret,Hiking,4538.97,4/19/2022,12
Nairobi,Wildlife Viewing,2066.2,6/17/2022,23
Kisumu,Wildlife Viewing,2358.97,9/3/2022,14
Nakuru,Safari,324.87,3/10/2022,4
Kisumu,Cultural Tour,508.76,5/19/2022,24
Mombasa,Hiking,159.71,10/19/2022,18
Mombasa,Safari,4615.72,7/3/2022,16
Mombasa,Cultural Tour,3760.29,12/29/2022,22
Nairobi,Safari,3833.51,3/9/2022,3
Eldoret,Hiking,3949.03,12/25/2022,8
Nairobi,Hiking,2840.18,8/3/2022,16
Nairobi,Hiking,169.93,11/11/2022,5
Nakuru,Cultural Tour,2671.32,9/15/2022,2
Eldoret,Beach,1585.83,1/23/2022,9
Nakuru,Beach,2591.77,11/19/2022,24
Eldoret,Safari,3480.88,4/7/2022,3
Mombasa,Beach,979.43,2/18/2022,20
Eldoret,Hiking,4454.58,8/24/2022,22
Nakuru,Wildlife Viewing,1340.57,7/22/2022,9
Nairobi,Safari,4376.21,10/12/2022,4
Nairobi,Safari,1931.29,10/19/2022,20
Kisumu,Hiking,4801.23,5/31/2022,3
Nakuru,Beach,2663.82,7/5/2022,6
Nakuru,Cultural Tour,1210.39,5/15/2022,13
Nairobi,Beach,3289.54,1/18/2022,19
Kisumu,Cultural Tour,4880.53,5/31/2022,22
Mombasa,Beach,4646.83,10/8/2022,19
Eldoret,Cultural Tour,628.83,7/24/2022,20
Eldoret,Beach,3728.68,5/4/2022,11
Eldoret,Cultural Tour,4967.29,7/28/2022,23
Eldoret,Hiking,711.69,3/4/2022,14
Nakuru,Cultural Tour,1623.38,7/1/2022,16
Nairobi,Hiking,377.67,4/21/2022,22
Kisumu,Hiking,3660.18,4/1/2022,8
Eldoret,Hiking,3727.89,1/14/2022,16
Nakuru,Cultural Tour,2132.78,4/16/2022,23
Mombasa,Safari,1212.22,4/13/2022,7
Nakuru,Beach,2331.25,2/25/2022,16
Nakuru,Cultural Tour,3985.9,1/27/2022,4
Nairobi,Wildlife Viewing,52.38,5/19/2022,23
Nakuru,Hiking,650.52,8/7/2022,11
Kisumu,Hiking,4551.0,11/11/2022,5
Kisumu,Safari,3691.22,7/11/2022,20
Nakuru,Hiking,1031.4,5/25/2022,6
Kisumu,Cultural Tour,2576.9,5/1/2022,19
Eldoret,Beach,1291.36,8/29/2022,19
Mombasa,Hiking,3111.69,5/15/2022,13
Nairobi,Beach,2936.41,1/19/2022,20
Eldoret,Safari,677.36,1/28/2022,2
Kisumu,Beach,2477.16,6/7/2022,8
Mombasa,Wildlife Viewing,893.65,12/10/2022,20
Eldoret,Beach,3165.37,11/9/2022,7
Nairobi,Beach,4008.78,7/17/2022,2
Mombasa,Beach,4703.24,7/26/2022,13
Nairobi,Cultural Tour,3542.98,11/12/2022,18
Eldoret,Wildlife Viewing,1734.29,10/27/2022,19
Kisumu,Wildlife Viewing,643.56,2/17/2022,19
Kisumu,Cultural Tour,2025.41,2/18/2022,17
Nairobi,Hiking,2130.77,3/10/2022,6
Nairobi,Hiking,4919.01,4/11/2022,24
Mombasa,Wildlife Viewing,3889.82,9/5/2022,21
Mombasa,Wildlife Viewing,1538.41,8/13/2022,17
Nakuru,Cultural Tour,1865.27,1/14/2022,3
Nakuru,Wildlife Viewing,374.37,2/13/2022,3
Nairobi,Safari,2139.61,10/16/2022,3
Mombasa,Safari,2705.52,9/21/2022,24
Nairobi,Hiking,2772.02,11/8/2022,15
Nairobi,Cultural Tour,2370.74,12/17/2022,6
Nairobi,Safari,3786.24,3/24/2022,15
Mombasa,Hiking,4067.0,12/20/2022,24
Kisumu,Wildlife Viewing,306.79,11/15/2022,11
Nairobi,Cultural Tour,2149.19,1/18/2022,6
Nairobi,Safari,4763.56,3/6/2022,21
Kisumu,Wildlife Viewing,54.69,8/24/2022,24
Nakuru,Safari,1274.2,6/15/2022,16
Nakuru,Wildlife Viewing,1339.02,12/1/2022,22
Nairobi,Cultural Tour,4127.0,10/26/2022,3
Kisumu,Wildlife Viewing,3505.9,11/26/2022,22
Nairobi,Wildlife Viewing,4094.75,4/25/2022,10
Nairobi,Wildlife Viewing,1592.72,11/1/2022,22
Mombasa,Beach,4634.87,10/15/2022,4
Mombasa,Wildlife Viewing,2251.74,10/17/2022,6
